OTU_ID,0,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000
OTU478,0.000555203,0.000237944,0.000634518,0.010310914,0,0.000317259,0.000475888,0.000158629,0.000475888,0.000555203,0.000237944,7.93147E-05
OTU214,0.005472716,0.000555203,0.001031091,0.005869289,0.002300127,0.002776015,0.001824239,0.000158629,0.005155457,0.000396574,0.010152284,0.009438452
OTU209,0.000396574,0.000475888,0.000475888,0.000634518,0.000634518,0.000237944,0.000793147,0.001031091,0.001031091,0.00991434,0.003569162,0.000555203
OTU110,0.001269036,0.004441624,0.001903553,0.002458756,0.008010787,0.003093274,0.008486675,0.00134835,0.009676396,0.006424492,0.005948604,0.006186548
OTU12056,0.001269036,0.001824239,0.000713832,0.001586294,0.005869289,0.002300127,0.006503807,0.003410533,0.003410533,0.005631345,0.009676396,0.001982868
OTU2091,0,7.93147E-05,7.93147E-05,0.000158629,0.000237944,0.000951777,0,0.000396574,0.000158629,7.93147E-05,0.009517766,0
OTU116,0.003569162,0.004124365,0.004758883,0.007296954,0.009200508,0.009279822,0.00420368,0.001189721,0.002696701,0.004045051,0.007772843,0.006265863
OTU148,0.008169416,0.004282995,0.004679569,0.004679569,0.004124365,0.00436231,0.003172589,0.009121193,0.003886421,0.006503807,0.003331218,0.003331218
OTU168,0.004282995,0.005155457,0.003727792,0.004045051,0.00571066,0.004838198,0.004124365,0.003331218,0.004124365,0.006583122,0.008803934,0.00420368
OTU136,0.001427665,0.001586294,0.000396574,0.001031091,0.000396574,0.001665609,0.000317259,0.003331218,0.007534898,0.006345178,0.002141497,0.00856599
OTU149,0.003727792,0.006979695,0.004441624,0.00721764,0.006107234,0.005393401,0.004600254,0.003331218,0.005393401,0.004996827,0.00555203,0.007852157
OTU412,0.001586294,0.002696701,0.002776015,0.006662437,0.003093274,0.004996827,0.001903553,0.002220812,0.007614213,0.002141497,0.005869289,0.002696701
OTU107,0.00285533,0.00436231,0.003251904,0.005155457,0.003569162,0.003648477,0.001586294,0.004520939,0.002538071,0.003331218,0.007534898,0.003093274
OTU150,0.000872462,0.001586294,0.002617386,0.003172589,0.007455584,0.002934645,0.001110406,0.001824239,0.001269036,0.002617386,0.001269036,0.005789975
OTU106,0.00555203,0.004282995,0.003251904,0.006503807,0.007138325,0.006662437,0.007296954,0.004441624,0.006583122,0.004758883,0.004838198,0.002062183
OTU233,0.00134835,0.000872462,0.001744924,0.002300127,0.004045051,0.003013959,0.006979695,0.004679569,0.002617386,0.002458756,0.002617386,0.000237944
OTU303,0,0.000713832,0.001189721,0,0.000158629,0,0.000158629,0,0.000158629,0.006900381,0.001031091,0.000237944
OTU1726,0.000158629,0.000634518,0.000317259,0,0,0.000872462,0.006821066,0.000237944,0.002538071,0.003410533,0.000872462,0.000872462
OTU180,0.001665609,0.006583122,0.000793147,0.00150698,0.002300127,0.003569162,0.003331218,0.000475888,0.000951777,0.000951777,0.004441624,0.003965736
OTU197,0.006503807,0.006186548,0.004520939,0.002141497,0.003410533,0.001110406,0.005234772,0.002538071,0.002538071,0.001903553,0.001824239,0.002934645
OTU340,0,0,0,0,0,0,0,0,0,0.006345178,7.93147E-05,7.93147E-05
OTU1130,0.001586294,0.006265863,0.002696701,0.002538071,0.000872462,0.000713832,0.003648477,0.001903553,0.003172589,0.002934645,0.000793147,0.001269036
OTU349,0.000951777,0.006265863,0.00150698,0.000475888,0.000396574,0.001110406,0.001586294,0.000396574,0.000793147,0.000951777,0.001031091,0.001903553
OTU397,0.000713832,0.000634518,0.000158629,0.000634518,0.001189721,0.000317259,0.000237944,0.000555203,0.000396574,0.001427665,0.006265863,0.000158629
OTU259,0.005948604,0.00150698,0.002617386,0.00285533,0.004917513,0.002062183,0.000634518,0.00285533,0.003093274,0.002458756,0.00150698,0.000475888
OTU244,0.001982868,0.001665609,0.001031091,0.000634518,0.005948604,0.001269036,0.000793147,0,0.001665609,0.004600254,7.93147E-05,0
OTU222,0.000475888,0.005869289,0.005869289,0.003727792,0.001427665,0.003093274,0.002062183,0.001427665,0.002300127,0.002379442,0.004520939,0.005789975
OTU173,0.001031091,0.005869289,0.000317259,0.000237944,0.000872462,0.001824239,0.002220812,0.003648477,0.000793147,0.004838198,0.002062183,0.001586294
OTU130,0.003965736,0.003251904,0.00571066,0.003410533,0.004441624,0.001427665,0.003410533,0.002538071,0.002220812,0.003093274,0.002696701,0.003013959
OTU179,0.003727792,0.002617386,0.002141497,0.003251904,0.003410533,0.005393401,0.003013959,0.005234772,0.003093274,0.005472716,0.000396574,0.002696701
OTU289,0.002538071,0,0.000396574,0,0,0.000317259,0,0.001824239,0.005472716,0,0.000475888,0
OTU162,0.001665609,0.00420368,0.002220812,0.003331218,0.002062183,0.003013959,0.002538071,0.001110406,0.002379442,0.001189721,0.000634518,0.005393401
OTU206,0.005393401,0.000634518,0.001031091,0.002220812,0.003331218,7.93147E-05,0.000713832,0.001189721,7.93147E-05,0.000713832,0.000158629,0.000317259
OTU159,0.002934645,0.003727792,0.003013959,0.003331218,0.005314086,0.003727792,0.003251904,0.002300127,0.001427665,0.002141497,0.003093274,0.002776015
OTU260,0.001665609,0.000237944,0.000793147,0.000634518,0.000158629,0.000158629,0.000475888,0.000555203,0.000158629,0.000555203,0.001427665,0.005234772
OTU492,0,0,0.000158629,0.000158629,0.000634518,0.000475888,0,0.000396574,7.93147E-05,0.005234772,0.000237944,0
OTU228,0.003093274,0.000237944,0.000158629,0.005076142,0.001110406,0.000872462,0.000555203,0.000158629,0.001665609,0.000158629,0.002379442,0.003807107
OTU400,0.003489848,0.001982868,0.003251904,0.002696701,0.003172589,0.002776015,0.002141497,0.001982868,0.001903553,0.001189721,0.003251904,0.004996827
OTU633,0.001824239,0,0.000555203,7.93147E-05,0.001427665,0.002300127,0,0.000951777,7.93147E-05,0.000872462,0.004996827,0
OTU658,0,0,0.004996827,0.000793147,0,0,0,0.000317259,7.93147E-05,0,0.001031091,0
OTU140,0.002934645,0.004441624,0.004441624,0.004758883,0.004441624,0.003013959,0.004917513,0.003807107,0.002696701,0.003331218,0.004045051,0.002300127
OTU189,0.003727792,0.004917513,0.003331218,0.003569162,0.001744924,0.001982868,0.002141497,0.003172589,0.002696701,0.004679569,0.003648477,0.00420368
OTU192,0.001586294,0.003013959,0.002220812,0.002220812,0.003331218,0.003251904,0.001903553,0.000317259,0.000872462,0.001982868,0.002617386,0.004917513
OTU854,0,0.000317259,0,0,7.93147E-05,0,0,0,0.002696701,7.93147E-05,0,0.004917513
OTU741,0.003489848,0.001586294,0.002696701,0.001982868,0.001903553,0.002220812,0.001744924,0.004838198,0.003965736,0.002300127,0.002220812,0.000872462
OTU265,0.00285533,0.002538071,0.000237944,0.000555203,0.00150698,0.003727792,0.000793147,0.001665609,0.001586294,0.001189721,0.004758883,0.000872462
OTU267,0.003965736,0.004679569,0.003727792,0.003886421,0.00420368,0.003489848,0.002220812,0.00436231,0.001982868,0.004600254,0.001982868,0.003807107
OTU291,0.002458756,0.004600254,0.001903553,0.001982868,0.00134835,0.001110406,0.000555203,0.003489848,0.003013959,0.003331218,0.00134835,0.001744924
OTU204,0.001665609,0.004520939,0.001824239,0.002776015,0.001269036,0.000872462,0.001982868,0.003251904,0.000793147,0.001665609,0.000634518,0.001110406
OTU177,0.003569162,0.003172589,0.000951777,0.002776015,0.003172589,0.00134835,0.003569162,0.002062183,0.000713832,0.00285533,0.004441624,0.003727792
OTU3049,0.004441624,0.003013959,0.002696701,0.001586294,0.003410533,0.002617386,0.001586294,0.001269036,0.001427665,0.00150698,0.001982868,0.001665609
OTU5323,0.004441624,0.000793147,0.000475888,0,0,0.003013959,0,0,0.000158629,7.93147E-05,0,7.93147E-05
OTU167,0.001903553,0.001903553,0.001982868,0.002776015,0.001824239,0.001665609,0.00150698,0.004282995,0.003013959,0.002062183,0.00134835,0.00150698
OTU176,0.000793147,0.00150698,0.000951777,0.002220812,0.002379442,0.002538071,0.004282995,0.00150698,0.000634518,0.002062183,0.001903553,0.001982868
OTU507,7.93147E-05,0.000237944,0.004282995,0.000237944,0.000713832,7.93147E-05,0,0,0.000317259,0.000237944,0,0.000237944
OTU239,0.002062183,0.001744924,0.001586294,0.004124365,0.001824239,0.002458756,0.001269036,0.002141497,0.001269036,0.00150698,0.00285533,0.003172589
OTU196,0.001110406,0.004124365,0.00150698,0.001824239,0.001665609,0.002220812,0.002538071,0.001031091,0.001189721,0.001824239,0.002062183,0.003331218
OTU283,0.001031091,0.001824239,0.000951777,0.001189721,0.00134835,0.002458756,0.001903553,0.00134835,0.000555203,0.000872462,0.002934645,0.004124365
OTU638,0,0,0.000317259,0.000158629,0.000396574,0.002538071,0.000237944,0.000237944,7.93147E-05,7.93147E-05,0.004124365,0
OTU1061,0.004124365,0,0,0,0,0,0,0,0,0,0,0
OTU337,0.000237944,0.000317259,0.000951777,0.000396574,0.004045051,0,0.000555203,7.93147E-05,0.002458756,7.93147E-05,0.001031091,0.000793147
OTU860,0.000793147,0,0.000396574,0,0,0.000158629,0.000158629,0.000951777,0.004045051,0.000237944,7.93147E-05,0.001665609
OTU163,0.003965736,0.002776015,0.002220812,0.003172589,0.003410533,0.003013959,0.001031091,0.00285533,0.001189721,0.003093274,0.001427665,0.001982868
OTU252,0.000475888,0.000317259,0.000396574,0.003965736,0.003093274,0.001031091,0.000951777,7.93147E-05,0.003886421,0.000634518,0.003172589,0.001824239
OTU273,0.003093274,0.002617386,0.000793147,0.001427665,7.93147E-05,0.000634518,0.003965736,0.001189721,0.000317259,0.000396574,0.003251904,0.002141497
OTU268,0.000158629,0.001031091,0.000396574,0.000317259,0.00150698,0.000396574,0.003965736,0.000713832,0.000237944,0.001031091,0.001189721,0.000872462
OTU223,0.003727792,0.002617386,0.002300127,0.002934645,0.002300127,0.002300127,0.003251904,0.003727792,0.003172589,0.001903553,0.003569162,0.003886421
OTU477,7.93147E-05,0.003727792,0,0.001427665,0,0,0.000158629,0.000158629,0.003093274,0,0.003886421,0.000396574
OTU248,0.003807107,0.002062183,0.001269036,0.001110406,0.002934645,0.001744924,0.000634518,0.000475888,0.001744924,0.00150698,0.00150698,0.001110406
OTU381,0.003807107,0.000713832,0.001031091,0.000713832,0.000713832,0.000634518,0.00150698,0.001110406,0.000317259,0.000396574,0.000634518,0.001031091
OTU525,0.003807107,0.00134835,0.000317259,0.000396574,0.000713832,0.002538071,7.93147E-05,0.001824239,0.000396574,0.000475888,0.000396574,0.000158629
OTU154,0.001982868,0.003172589,0.000951777,0.003727792,0.003251904,0.000713832,0.002379442,0.002617386,0.00134835,0.002062183,0.001427665,0.000793147
OTU350,0.000475888,0.002696701,0.00150698,0.000951777,0.003727792,0.001031091,0.00150698,0.000634518,0.000555203,0.001031091,0.001903553,0.001586294
OTU859,0.000872462,0.001110406,0.001903553,0.001110406,0.003727792,0.00150698,0.000872462,0.000475888,0.000158629,0.001189721,0.000872462,0.000634518
OTU186,0.00134835,0.001982868,0.003648477,0.002617386,0.002379442,0.000872462,0.001586294,0.00285533,0.001269036,0.002934645,0.001903553,0.00150698
OTU249,0.000713832,0.002458756,0.000237944,0.001427665,0.001110406,0.002538071,0.000872462,0.000713832,0.000317259,0.000872462,0.002300127,0.003648477
OTU174,0.002300127,0.000713832,0.000713832,0.001427665,0.001665609,0.000951777,0.003648477,0.001982868,0.000713832,0.000872462,0.001269036,0.001189721
OTU487,0.000634518,0.000396574,0.000634518,0.001110406,0.000158629,7.93147E-05,7.93147E-05,0.000237944,0.001110406,0.003648477,0.000872462,0.000158629
OTU203,0.001903553,0.001665609,0.001665609,0.001586294,0.002300127,0.002220812,0.001110406,0.003489848,0.001031091,0.001982868,0.001665609,0.00134835
OTU258,0.000951777,0.000634518,0.001665609,0.001189721,0.000555203,0.001744924,0.000158629,0.001269036,0.000793147,0.003489848,7.93147E-05,0.001031091
OTU266,0.002141497,0.000158629,0.000396574,0.002300127,0.003410533,0.003093274,0.001189721,0,0.001586294,0.000793147,0.002696701,0.000317259
OTU298,0.000872462,0.000793147,0.003410533,0.000951777,0.001744924,0.000317259,0.000634518,0.000396574,0.000158629,0.000396574,0.000237944,0.000872462
OTU299,0.000396574,0.000793147,0.000793147,0.000317259,0.000713832,0.000317259,0.001110406,0.000793147,0.002458756,0.000951777,0.003410533,0.000158629
OTU473,0,0,0,0,0,0.000555203,0,0,0.003410533,0.002300127,0.000158629,0.000158629
OTU194,0.003331218,0.003172589,0.001824239,0.001903553,0.00150698,0.001903553,0.002458756,0.002300127,0.002538071,0.002141497,0.00150698,0.001665609
OTU243,0.003093274,0.002458756,0.001665609,0,0,0.000793147,0.000634518,0.00285533,0.002776015,0.000793147,0.001031091,0.003331218
OTU541,0.000951777,0.001427665,0.000634518,0.001903553,0.00150698,0.002379442,0.002141497,0.000951777,0.000793147,0.001110406,0.001903553,0.003331218
OTU361,0.000951777,0.003331218,0.000634518,0.001586294,0.000396574,0.001110406,0.002379442,0.000396574,0.001586294,0.000475888,0.001031091,0.000555203
OTU356,0.000634518,0.001269036,0.000951777,0.001031091,0.002379442,0.003251904,0.00134835,0.001031091,0.000634518,0.000475888,0.001744924,0.003013959
OTU545,0.000237944,0.00285533,0.000317259,0,0.000158629,0.000951777,0.000396574,0,0.003251904,0.000793147,0.000713832,0
OTU599,0,0,0,0,0,0,0,0,0.003251904,7.93147E-05,0,0
OTU212,0.002141497,0.000475888,0.003172589,0.000793147,0.001903553,0.002379442,0.00134835,0.001031091,0.001427665,0.001586294,0.001031091,0.002141497
OTU406,0.003172589,0.002062183,0.001744924,0.001665609,0.001031091,0.001903553,0.001982868,0.001189721,0.001665609,0.002300127,0.001189721,0.001903553
OTU386,0.000793147,0.000555203,0.001269036,0.001586294,0.001269036,0.002379442,7.93147E-05,0.002379442,0.003093274,0.001110406,0.000872462,0.003172589
OTU199,0.001665609,0.002538071,0.00150698,0.002538071,0.001110406,0.00150698,0.002696701,0.00150698,0.001982868,0.001903553,0.002458756,0.003093274
OTU353,0.000634518,0.00285533,0.001982868,0.003093274,0.000793147,0.000872462,0.00134835,0.001427665,0.001110406,0.000793147,0.001269036,0.000951777
OTU403,0.001665609,0.002300127,0.001744924,0.003013959,0.00285533,0.002379442,0.002934645,0.001744924,0.002538071,0.002458756,0.001744924,0.003013959
OTU354,0.003013959,0.000872462,0.000396574,0.000634518,0.000158629,0.000951777,0.000396574,0.000555203,0.000158629,0.000237944,0.000555203,0.000237944
OTU2707,0,7.93147E-05,0.000158629,0.000158629,0,0.003013959,0,0,0,0,0,0
OTU184,0.002934645,0.001982868,0.002220812,0.002458756,0.00134835,0.001427665,0.002220812,0.00134835,0.002300127,0.002141497,0.001824239,0.002062183
OTU355,0.001269036,0.002934645,0.000713832,0.001903553,0.00134835,0.001982868,0.001269036,0.00150698,0.00134835,0.000793147,0.001982868,0.000713832
OTU2350,0.001269036,0.001110406,0.000793147,0.001744924,0.00134835,0.002934645,0.001586294,0.002379442,0.00150698,0.001665609,0.001744924,0.00150698
OTU358,0.000634518,0.00150698,0.000317259,0.002062183,0.001824239,0.001269036,0.002934645,0.001269036,0.001110406,0.001269036,0.001189721,0.001110406
OTU408,0.000317259,0.000237944,0,0.001903553,0.002934645,7.93147E-05,0,0,7.93147E-05,0,7.93147E-05,7.93147E-05
OTU175,0.002696701,0.001903553,0.00285533,0.001744924,0.00150698,0.001982868,0.001665609,0.001824239,0.002300127,0.002141497,0.00150698,0.001744924
OTU220,0.00285533,0.002220812,0.001110406,0.001982868,0.002776015,0.001031091,0.002617386,0.002220812,0.000634518,0.002220812,0.002379442,0.001824239
OTU390,0.001903553,0.000872462,0.000951777,0.00285533,0.00134835,0.00150698,0.000793147,0.001031091,0.002379442,0.000634518,0.000872462,0.001982868
OTU460,0.00285533,0,0,0,0.00134835,0.000951777,0,0.002776015,0,0,0.001427665,0
OTU677,0.00285533,0.000793147,0,0.000475888,0,0,7.93147E-05,0,0,0,0,0
OTU234,0.001269036,0.00150698,0.001824239,0.000951777,0.000951777,0.000475888,0.00134835,0.002776015,0.002379442,0.001269036,0.001269036,0.001269036
OTU499,0.002776015,0.000475888,0.000872462,0.00134835,0.001110406,0.001269036,0.001031091,0.001189721,0.001269036,0.001427665,0.001824239,0.001269036
OTU330,0.000713832,0.000237944,0.000951777,0.001189721,0.000713832,0.00134835,0.000475888,0.002458756,0.002062183,0.001586294,0.000793147,0.002776015
OTU278,0.000158629,0.000237944,0.000555203,0.001189721,0.002776015,0,0.000872462,0.001031091,0.000793147,7.93147E-05,0.000158629,7.93147E-05
OTU4,0,0,0,0,0,0,0.001744924,0.002300127,0.002776015,0.000951777,0,0
OTU511,0.001824239,0,0.002776015,0,0,0,0,0,0,0,0.001665609,0
OTU900,0.000158629,7.93147E-05,7.93147E-05,0.000555203,0.000158629,0,0,7.93147E-05,0,0.002776015,7.93147E-05,0
OTU986,7.93147E-05,7.93147E-05,7.93147E-05,0,0,0.002776015,7.93147E-05,0,0,7.93147E-05,0.000713832,0
OTU221,0.002617386,0.002696701,0.001427665,0.002696701,0.002538071,0.002062183,0.001824239,0.001189721,0.001110406,0.001189721,0.001982868,0.002220812
OTU333,0.001031091,0.000475888,0.000713832,0.001031091,0.000713832,0.000951777,0.000951777,0.002696701,0.001903553,0.001427665,0.000713832,0.000793147
OTU417,0.000237944,0.001744924,0.000555203,0.001824239,0.000475888,0.000158629,0.001982868,0.000475888,0.001982868,0.000475888,0.002696701,0.000158629
OTU30,0,0,0,0.002696701,0,0,0,0,0.002458756,0,0,0
OTU721,0.002141497,0.001903553,0.000713832,0.001110406,0.002300127,0.001903553,0.001189721,0.002538071,0.00150698,0.002617386,0.000951777,0.001031091
OTU262,0.000713832,0.000634518,0.001269036,0.001427665,0.002617386,0.001189721,0.000793147,0.000713832,0.000713832,0.00150698,0.000475888,0.001744924
OTU458,0.000158629,0.002141497,0.000555203,0.000634518,0,0.002062183,0.000396574,0.001110406,0.000317259,0.001427665,0.001665609,0.002617386
OTU518,0.001586294,0.000237944,0.000713832,0.000396574,0.002458756,0.002617386,0.000872462,0.000317259,0,0.000317259,0.000555203,0.000158629
OTU1097,7.93147E-05,0,0,0,0,0.002617386,0,0,0,0,0,0
OTU680,0.002617386,0,0,0,0,0,0,0,0,0,0,0
OTU178,0.001427665,0.000872462,0.001744924,0.002538071,0.002220812,0.002379442,0.000396574,0.00134835,0.000475888,0.000713832,0.001427665,0.001586294
OTU430,0.000872462,0.000951777,0.000634518,0.001031091,0.000634518,0.000634518,0.000475888,0.002538071,0.001110406,0.001665609,0.000475888,0.002300127
OTU242,0.000396574,0.002538071,0.000951777,0.001189721,0.001189721,0.000951777,0.000793147,0.000317259,0.000158629,0.001031091,0.001269036,0.002062183
OTU1089,0,0,0,0,0,0.002538071,0,0,0,0.000317259,0,0
OTU272,0.001903553,0.001189721,0.001824239,0.001586294,0.001665609,0.001269036,0.001269036,0.002458756,0.00150698,0.001982868,0.001110406,0.002141497
OTU251,0.001110406,0.002458756,0.001665609,0.001824239,0.000872462,0.000713832,0.001269036,0.001031091,0.001189721,0.001586294,0.001982868,0.001269036
OTU1039,0.001031091,0.001269036,0.000713832,0.001903553,0.002458756,0.001982868,0.001269036,0.000475888,0.000951777,0.001189721,0.001189721,0.001427665
OTU432,0.001110406,0.001269036,0.000555203,0.001665609,0.000793147,0.000951777,0.002458756,0.000713832,0.000555203,0.001031091,0.001586294,0.000793147
OTU426,0.000396574,0.001824239,0.001110406,0.001586294,0.00150698,0.00134835,0.000555203,7.93147E-05,0.00134835,0.000793147,0.000555203,0.002458756
OTU310,7.93147E-05,0.000475888,0.002458756,0.000396574,0.000872462,0.000634518,0.000475888,0.000317259,0.000793147,0.000475888,0.001031091,0.000396574
OTU376,0.002458756,0.001189721,0.000475888,0.001269036,0.00134835,0.000555203,0.000951777,0.001665609,0.000237944,0.000555203,0.000555203,0.001031091
